date;ESG;isPartial
2019-06-02;12;False
2019-06-09;0;False
2019-06-16;18;False
2019-06-23;6;False
2019-06-30;24;False
2019-07-07;6;False
2019-07-14;6;False
2019-07-21;6;False
2019-07-28;12;False
2019-08-04;18;False
2019-08-11;6;False
2019-08-18;12;False
2019-08-25;0;False
2019-09-01;6;False
2019-09-08;0;False
2019-09-15;0;False
2019-09-22;17;False
2019-09-29;11;False
2019-10-06;11;False
2019-10-13;18;False
2019-10-20;6;False
2019-10-27;17;False
2019-11-03;11;False
2019-11-10;11;False
2019-11-17;11;False
2019-11-24;11;False
2019-12-01;23;False
2019-12-08;29;False
2019-12-15;11;False
2019-12-22;6;False
2019-12-29;6;False
2020-01-05;27;False
2020-01-12;10;False
2020-01-19;11;False
2020-01-26;11;False
2020-02-02;32;False
2020-02-09;22;False
2020-02-16;32;False
2020-02-23;5;False
2020-03-01;11;False
2020-03-08;5;False
2020-03-15;0;False
2020-03-22;0;False
2020-03-29;0;False
2020-04-05;19;False
2020-04-12;25;False
2020-04-19;0;False
2020-04-26;5;False
2020-05-03;5;False
2020-05-10;27;False
2020-05-17;11;False
2020-05-24;16;False
2020-05-31;10;False
2020-06-07;5;False
2020-06-14;31;False
2020-06-21;0;False
2020-06-28;27;False
2020-07-05;0;False
2020-07-12;11;False
2020-07-19;17;False
2020-07-26;11;False
2020-08-02;16;False
2020-08-09;6;False
2020-08-16;11;False
2020-08-23;16;False
2020-08-30;25;False
2020-09-06;0;False
2020-09-13;10;False
2020-09-20;30;False
2020-09-27;5;False
2020-10-04;41;False
2020-10-11;16;False
2020-10-18;27;False
2020-10-25;32;False
2020-11-01;15;False
2020-11-08;0;False
2020-11-15;20;False
2020-11-22;24;False
2020-11-29;19;False
2020-12-06;29;False
2020-12-13;28;False
2020-12-20;16;False
2020-12-27;11;False
2021-01-03;16;False
2021-01-10;24;False
2021-01-17;20;False
2021-01-24;25;False
2021-01-31;5;False
2021-02-07;25;False
2021-02-14;25;False
2021-02-21;10;False
2021-02-28;57;False
2021-03-07;31;False
2021-03-14;39;False
2021-03-21;74;False
2021-03-28;42;False
2021-04-04;40;False
2021-04-11;62;False
2021-04-18;70;False
2021-04-25;57;False
2021-05-02;35;False
2021-05-09;32;False
2021-05-16;48;False
2021-05-23;32;False
2021-05-30;43;False
2021-06-06;36;False
2021-06-13;37;False
2021-06-20;55;False
2021-06-27;43;False
2021-07-04;38;False
2021-07-11;43;False
2021-07-18;39;False
2021-07-25;37;False
2021-08-01;61;False
2021-08-08;39;False
2021-08-15;39;False
2021-08-22;29;False
2021-08-29;78;False
2021-09-05;40;False
2021-09-12;80;False
2021-09-19;52;False
2021-09-26;69;False
2021-10-03;70;False
2021-10-10;35;False
2021-10-17;83;False
2021-10-24;56;False
2021-10-31;54;False
2021-11-07;42;False
2021-11-14;83;False
2021-11-21;57;False
2021-11-28;77;False
2021-12-05;89;False
2021-12-12;44;False
2021-12-19;100;False
2021-12-26;60;False
2022-01-02;51;False
2022-01-09;97;False
2022-01-16;46;False
2022-01-23;73;False
2022-01-30;68;False
2022-02-06;63;False
2022-02-13;48;True
